ID,Region,Regulated Dam,Primary Purpose,Primary Type,Height (m),Length (km),Volume (m3),Year Completed,Years Modified,Surface (km2),Drainage (km2),Spillway,Last Inspection Date,Inspection Frequency,Distance to Nearest City (km),Hazard,Assessment,Assessment Date,Probability of Failure,Loss given failure - prop (Qm),Loss given failure - liab (Qm),Loss given failure - BI (Qm),Height_clean,Length_clean,Length_missing,Volume_clean,Volume_missing,Volume_log,n_modifications,last_modification_year
SOAD19679,Lyndrassia,Yes,Recreation,Earth,14.637,0.225,,,2008,0.11426,,Uncontrolled,,3.0,4.94,High,Not Rated,,0.111,30.4,927.7,4.9,14.637,0.225,0,,1,,1.0,2008.0
SOAD14594,Navaldia,Yes,Recreation,Earth,2.825,0.067,,,,0.06501,13.31645,,05/12/2018,2.0,,Significant,Poor,,0.1398,6.7,235.1,5.2,2.825,0.067,0,,1,,0.0,
SOAD19425,Flumevale,No,Flood Risk Reduction,Earth,27.419,0.347,220000.0,1971.0,,0.00788,,,06/07/2023,1.0,6.32,High,Satisfactory,29/09/2023,0.1104,16.4,201.5,,27.419,0.347,0,220000.0,0,12.301387370778713,0.0,
SOAD02827,Navaldia,Yes,Recreation,Earth,3.001,0.163,5550.0,,,0.00591,0.0,Uncontrolled,15/03/2023,,,High,Fair,15/08/2023,0.0916,40.3,690.1,4.6,3.001,0.163,0,5550.0,0,8.621733370690162,0.0,
SOAD04177,Navaldia,Yes,Flood Risk Reduction,Earth,7.397,0.025,,1999.0,2005H,,2.66329,,29/11/2018,2.0,,Significant,Satisfactory,,0.121,185.5,218.2,,7.397,0.025,0,,1,,1.0,2005.0
SOAD10896,Navaldia,Yes,Recreation,Earth,3.556,0.06,,1973.0,,0.00394,2.66329,,17/11/2017,2.0,,Significant,Satisfactory,,0.1378,28.1,103.3,4.6,3.556,0.06,0,,1,,0.0,
SOAD12764,Lyndrassia,Yes,Flood Risk Reduction,Earth,13.925,0.1,30000.0,1989.0,1989,0.00788,0.0,Uncontrolled,14/05/2020,2.0,7.74,High,Satisfactory,19/12/2007,0.0905,10.8,129.6,,13.925,0.1,0,30000.0,0,10.308985993422082,1.0,1989.0
SOAD17150,Navaldia,Yes,Flood Risk Reduction,Earth,6.819,0.067,,1948.0,,0.0,0.0,Uncontrolled,13/02/2020,5.0,0.16,High,Fair,01/04/2021,0.0985,39.2,851.5,,6.819,0.067,0,,1,,0.0,
SOAD17354,Navaldia,Yes,Unknow,Earth,10.606,0.053,,2008.0,,0.02364,0.0,Uncontrolled,15/06/2022,5.0,1.67,Significant,Fair,25/08/2022,0.1097,8.0,865.3,,10.606,0.053,0,,1,,0.0,
SOAD02782,Navaldia,Yes,Flood Risk Reduction,Earth,4.227,0.083,,1991.0,,0.00591,2.66329,,25/04/2019,2.0,,Significant,Fair,,0.1357,47.1,418.9,,4.227,0.083,0,,1,,0.0,
SOAD14624,Navaldia,Yes,Flood Risk Reduction,Earth,3.41,0.063,,1985.0,,,2.66329,,14/04/2020,2.0,,Significant,Fair,,0.1433,373.8,255.4,,3.41,0.063,0,,1,,0.0,
SOAD15975,Navaldia,No,Unknow,Earth,5.836,0.027,,,,0.00394,0.0,Uncontrolled,18/08/2009,,,Significant,Not Rated,18/08/2014,0.1649,13.3,322.8,,5.836,0.027,0,,1,,0.0,
SOAD00979,Lyndrassia,Yes,Recreation,Earth,14.781,0.108,,1996.0,,,,,,,1.69,High,,,0.1556,479.6,579.1,6.2,14.781,0.108,0,,1,,0.0,
SOAD03833,Flumevale,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,3.977,0.115,2773.0,1983.0,1996,0.00788,0.0,Uncontrolled,18/06/2020,2.0,11.26,Significant,Satisfactory,18/06/2020,0.1354,39.8,121.9,,3.977,0.115,0,2773.0,0,7.928045600874777,1.0,1996.0
SOAD09276,Lyndrassia,Yes,Other,Earth,22.852,0.1,43000.0,1993.0,1997,0.00788,0.0,Uncontrolled,19/01/2023,2.0,,Significant,Satisfactory,21/12/2007,0.114,35.1,293.8,,22.852,0.1,0,43000.0,0,10.668978650219241,1.0,1997.0
SOAD13160,Navaldia,Yes,Unknow,Earth,2.784,0.133,,,,0.01379,0.0,Uncontrolled,07/12/2021,2.0,1.61,High,Poor,17/03/2022,0.1141,36.1,107.1,,2.784,0.133,0,,1,,0.0,
SOAD14182,Flumevale,No,Tailings,Earth,8.658,0.267,,,,,,,,,4.75,High,Not Available,,0.1235,844.9,374.4,,8.658,0.267,0,,1,,0.0,
SOAD14607,Navaldia,No,Unknow,Earth,5.355,0.123,,1965.0,,0.00788,0.0,Uncontrolled,17/10/2007,,,Significant,Not Rated,18/06/2014,0.1451,7.9,446.3,,5.355,0.123,0,,1,,0.0,
SOAD15607,Navaldia,Yes,Flood Risk Reduction,Earth,6.12,0.04,,1992.0,,,2.66329,,19/07/2019,2.0,,Significant,Satisfactory,,0.1106,186.3,161.6,,6.12,0.04,0,,1,,0.0,
SOAD18799,Navaldia,Yes,Flood Risk Reduction,Earth,3.336,0.123,,,,,2.66329,,04/12/2020,1.0,,High,Satisfactory,,0.1017,532.3,925.3,,3.336,0.123,0,,1,,0.0,
SOAD01460,Navaldia,Yes,Unknow,Earth,9.399,0.133,,1948.0,,0.0,2.66329,Uncontrolled,12/02/2020,2.0,,High,Poor,31/03/2021,0.13,41.8,596.3,,9.399,0.133,0,,1,,0.0,
SOAD02312,Flumevale,No,Other,Earth,10.679,0.08,,,,,,,,,1.67,Significant,Not Available,,0.1661,306.3,365.5,,10.679,0.08,0,,1,,0.0,
SOAD07202,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.746,0.11,,1990.0,1991S,0.00788,0.0,Uncontrolled,08/07/2009,5.0,,Significant,Not Rated,08/07/2014,0.0923,19.0,308.6,,4.746,0.11,0,,1,,1.0,1991.0
SOAD14722,Navaldia,Yes,Flood Risk Reduction,Earth,3.556,0.053,,1998.0,,,7.98987,,29/12/2020,1.0,,High,Satisfactory,,0.1039,625.3,716.1,,3.556,0.053,0,,1,,0.0,
SOAD20423,Navaldia,Yes,Flood Risk Reduction,Earth,3.25,0.117,,1994.0,,,2.66329,,28/01/2021,1.0,,High,Fair,,0.096,632.1,897.7,,3.25,0.117,0,,1,,0.0,
SOAD00063,Navaldia,No,Recreation,Earth,3.509,0.0,,1982.0,,0.0,0.0,,28/07/2009,,,Significant,Not Rated,28/07/2014,0.1722,36.1,42.1,5.5,3.509,,1,,1,,0.0,
SOAD01247,Flumevale,No,Water Supply,Earth,7.299,0.253,,,,,,,,,1.67,Significant,Not Available,,0.1451,312.7,887.2,47.5,7.299,0.253,0,,1,,0.0,
SOAD04234,Navaldia,Yes,Flood Risk Reduction,Earth,4.295,0.1,,1948.0,,0.0,0.0,Uncontrolled,12/02/2020,5.0,0.0,High,Fair,31/03/2021,0.0574,42.9,263.9,,4.295,0.1,0,,1,,0.0,
SOAD05848,Navaldia,Yes,Recreation,Earth,4.178,0.067,,1973.0,,0.00591,2.66329,,17/11/2017,2.0,,Significant,Poor,,0.1479,25.0,424.5,6.3,4.178,0.067,0,,1,,0.0,
SOAD07932,Lyndrassia,Yes,Other,Earth,14.982,0.07,0.0,1988.0,1988,0.00394,0.0,Uncontrolled,04/04/2023,2.0,9.2,High,Satisfactory,04/09/2008,0.1094,9.9,248.4,,14.982,0.07,0,,1,,1.0,1988.0
SOAD12960,Navaldia,Yes,Water Supply,Earth,6.807,0.067,,1915.0,,0.00788,10.65316,,14/10/2020,1.0,,High,Poor,,0.1269,35.4,874.2,17.0,6.807,0.067,0,,1,,0.0,
SOAD20522,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,15.395,0.073,0.0,1989.0,,0.00197,0.0,Uncontrolled,12/12/2021,5.0,9.51,Significant,Not Rated,19/12/2007,0.1375,28.9,162.5,,15.395,0.073,0,,1,,0.0,
SOAD05174,Navaldia,Yes,Flood Risk Reduction,Earth,8.942,0.09,,,,0.0,0.0,Uncontrolled,13/02/2020,5.0,0.16,High,Fair,01/04/2021,0.0881,27.2,305.0,,8.942,0.09,0,,1,,0.0,
SOAD06379,Navaldia,No,Unknow,Earth,7.121,0.024,,,,0.00591,0.0,Uncontrolled,18/08/2009,,,Significant,Not Rated,18/08/2014,0.111,23.1,392.8,,7.121,0.024,0,,1,,0.0,
SOAD09118,Navaldia,Yes,Recreation,Earth,7.888,0.1,,,2002H,0.02955,23.96961,Uncontrolled,27/08/2020,2.0,,Significant,Satisfactory,,0.1212,5.9,71.8,8.3,7.888,0.1,0,,1,,1.0,2002.0
SOAD10640,Navaldia,Yes,Flood Risk Reduction,Earth,3.884,0.058,4140.0,2009.0,,0.00788,0.0,Uncontrolled,08/12/2021,5.0,,Significant,Fair,27/07/2022,0.1218,9.4,124.5,,3.884,0.058,0,4140.0,0,8.328692583545568,0.0,
SOAD11247,Navaldia,Yes,Recreation,Earth,3.242,0.04,,1936.0,,0.02167,2.66329,,29/06/2017,2.0,,Significant,Fair,,0.1364,6.1,252.1,6.0,3.242,0.04,0,,1,,0.0,
SOAD11707,Navaldia,No,Unknow,Earth,5.459,0.039,,,,0.00788,0.0,Uncontrolled,18/08/2009,,,Significant,Not Rated,18/08/2014,0.1546,32.1,400.2,,5.459,0.039,0,,1,,0.0,
SOAD11867,Flumevale,Yes,Water Supply,Earth,4.43,0.083,,1999.0,2000,0.00788,0.0,Uncontrolled,24/05/2013,2.0,11.38,Significant,Fair,24/05/2013,0.1314,18.3,151.7,15.0,4.43,0.083,0,,1,,1.0,2000.0
SOAD15152,Flumevale,Yes,Flood Risk Reduction,Earth,11.071,0.095,21140.0,2005.0,,0.00788,0.0,Uncontrolled,17/09/2020,1.0,,High,Fair,17/09/2020,0.1114,43.7,816.2,,11.071,0.095,0,21140.0,0,9.958969561995133,0.0,
SOAD15867,Navaldia,Yes,Recreation,Earth,5.156,0.183,,1982.0,2002S,0.03349,2.66329,,19/01/2021,1.0,,High,Fair,,0.1167,15.5,887.5,8.2,5.156,0.183,0,,1,,1.0,2002.0
SOAD02714,Flumevale,No,Water Supply,Earth,13.753,0.033,,,,,,,,,7.67,High,Not Available,,0.1083,672.7,452.4,51.7,13.753,0.033,0,,1,,0.0,
SOAD03129,Lyndrassia,Yes,Unknow,Earth,16.055,0.053,,1999.0,1999,0.00394,0.0,,02/11/2021,,,Significant,Satisfactory,19/12/2007,0.1143,37.2,379.4,,16.055,0.053,0,,1,,1.0,1999.0
SOAD05372,Flumevale,Yes,Irrigation,Earth,5.634,0.08,3550.0,1960.0,,0.00788,7.98987,Uncontrolled,21/06/2021,2.0,16.56,Significant,Fair,21/06/2021,0.1503,8.1,260.9,24.6,5.634,0.08,0,3550.0,0,8.174984532943087,0.0,
SOAD05893,Navaldia,Yes,Other,Earth,7.354,0.048,,,,0.00788,7.98987,,29/03/2017,2.0,,Significant,Not Rated,,0.167,17.2,74.7,,7.354,0.048,0,,1,,0.0,
SOAD11286,Flumevale,Yes,Recreation,Earth,3.498,0.133,,1966.0,,0.00788,7.98987,Uncontrolled,29/08/2022,2.0,1.59,Significant,Fair,29/08/2022,0.1333,11.7,704.8,4.9,3.498,0.133,0,,1,,0.0,
SOAD12488,Navaldia,No,Other,Earth,4.199,0.043,,,,0.00788,0.0,Uncontrolled,24/08/2009,,,Significant,Not Rated,24/08/2014,0.1619,44.7,473.7,,4.199,0.043,0,,1,,0.0,
SOAD18907,Navaldia,Yes,Flood Risk Reduction,Earth,4.068,0.125,,1986.0,,,2.66329,,28/01/2021,1.0,,High,Satisfactory,,0.085,862.4,828.4,,4.068,0.125,0,,1,,0.0,
SOAD00892,Navaldia,Yes,Flood Risk Reduction,Earth,4.974,0.147,,1993.0,,,2.66329,,27/07/2018,2.0,,Significant,Not Rated,,0.1355,310.9,31.4,,4.974,0.147,0,,1,,0.0,
SOAD11305,Navaldia,Yes,Recreation,Earth,5.32,0.067,,,,0.00591,7.98987,,12/10/2020,1.0,,High,Satisfactory,,0.0907,42.2,713.7,5.9,5.32,0.067,0,,1,,0.0,
SOAD14530,Navaldia,Yes,Flood Risk Reduction,Earth,3.487,0.16,,1979.0,,,2.66329,,22/03/2019,2.0,,Significant,Fair,,0.1276,388.0,302.4,,3.487,0.16,0,,1,,0.0,
SOAD15004,Navaldia,Yes,Recreation,Earth,6.437,0.05,,,,0.00985,2.66329,,23/03/2021,1.0,,High,Fair,,0.1056,12.8,805.9,7.1,6.437,0.05,0,,1,,0.0,
SOAD15153,Navaldia,Yes,Recreation,Earth,6.847,0.067,,,,0.01182,2.66329,,15/11/2017,2.0,,Significant,Satisfactory,,0.1042,43.1,350.0,8.7,6.847,0.067,0,,1,,0.0,
SOAD15297,Navaldia,Yes,Recreation,Earth,3.795,0.037,,,,0.01576,2.66329,,04/12/2020,2.0,,Significant,Fair,,0.1444,27.9,276.7,6.6,3.795,0.037,0,,1,,0.0,
SOAD16517,Lyndrassia,No,Unknow,Earth,10.489,0.027,0.0,,,0.00591,21.30632,,,0.0,0.0,Significant,Not Rated,,0.1392,39.4,287.2,,10.489,0.027,0,,1,,0.0,
SOAD20131,Navaldia,Yes,Recreation,Earth,3.533,0.15,,,1991S,0.01773,0.0,Uncontrolled,14/09/2016,5.0,1.61,High,Not Rated,14/09/2021,0.1054,43.2,904.3,4.7,3.533,0.15,0,,1,,1.0,1991.0
SOAD00226,Navaldia,Yes,Flood Risk Reduction,Earth,8.065,0.083,,1965.0,,0.00985,0.0,,19/10/2018,2.0,,Significant,Satisfactory,,0.122,18.4,339.5,,8.065,0.083,0,,1,,0.0,
SOAD01190,Navaldia,Yes,Recreation,Earth,5.321,0.133,,1968.0,1975S,0.00788,0.0,Uncontrolled,26/03/2015,5.0,,High,Not Rated,26/03/2020,0.1004,9.5,590.0,3.1,5.321,0.133,0,,1,,1.0,1975.0
SOAD06606,Navaldia,Yes,Flood Risk Reduction,Earth,9.137,0.067,,,,,2.66329,,19/10/2018,2.0,,Significant,Satisfactory,,0.1135,217.4,441.6,,9.137,0.067,0,,1,,0.0,
SOAD10931,Navaldia,Yes,Water Supply,Earth,8.504,0.055,,1915.0,,0.01773,10.65316,,14/10/2020,1.0,,High,Poor,,0.1244,41.7,670.2,16.5,8.504,0.055,0,,1,,0.0,
SOAD11393,Navaldia,Yes,Flood Risk Reduction,Earth,6.931,0.09,,1948.0,,0.0,0.0,Uncontrolled,13/02/2020,5.0,0.16,High,Fair,01/04/2021,0.0739,5.1,128.3,,6.931,0.09,0,,1,,0.0,
SOAD16190,Lyndrassia,Yes,Unknow,Earth,19.243,0.053,,1970.0,2011,0.00394,0.0,Uncontrolled,24/06/2020,3.0,0.1,High,Satisfactory,27/08/2012,0.0811,26.7,137.0,,19.243,0.053,0,,1,,1.0,2011.0
SOAD19959,Navaldia,Yes,Recreation,Earth,5.04,0.083,,,,,2.66329,,21/09/2017,2.0,,Significant,Fair,,0.1325,124.5,308.9,3.9,5.04,0.083,0,,1,,0.0,
SOAD00463,Navaldia,Yes,Flood Risk Reduction,Earth,3.213,0.028,,,,,2.66329,,07/10/2016,2.0,,Significant,Fair,,0.1296,78.2,288.6,,3.213,0.028,0,,1,,0.0,
SOAD01374,Navaldia,Yes,Flood Risk Reduction,Earth,3.889,0.117,,,2003H,,0.0,Uncontrolled,25/10/2017,2.0,,Significant,Fair,,0.1215,451.1,348.9,,3.889,0.117,0,,1,,1.0,2003.0
SOAD03552,Navaldia,Yes,Recreation,Earth,4.689,0.07,,1982.0,,0.01576,5.32658,,08/09/2017,2.0,,Significant,Poor,,0.137,18.6,32.5,6.1,4.689,0.07,0,,1,,0.0,
SOAD05302,Navaldia,Yes,Recreation,Earth,6.739,0.073,,1986.0,,0.01773,0.0,Uncontrolled,19/10/2016,5.0,7.18,Significant,Not Rated,19/10/2021,0.1423,27.0,135.5,7.5,6.739,0.073,0,,1,,0.0,
SOAD08078,Navaldia,Yes,Flood Risk Reduction,Earth,6.5,0.2,,,,,13.31645,,09/08/2018,2.0,,Significant,Not Rated,,0.1676,188.6,94.0,,6.5,0.2,0,,1,,0.0,
SOAD08735,Lyndrassia,No,Unknow,Earth,17.885,0.14,,,,0.07486,868.23254,Uncontrolled,19/04/2021,1.0,,High,Poor,11/10/2019,0.1245,46.5,512.9,,17.885,0.14,0,,1,,0.0,
SOAD08991,Navaldia,Yes,Flood Risk Reduction,Earth,4.186,0.133,,,,,2.66329,,26/03/2019,2.0,,Significant,Poor,,0.1478,460.0,314.3,,4.186,0.133,0,,1,,0.0,
SOAD14049,Lyndrassia,Yes,Recreation,Earth,6.984,0.127,,1963.0,,,,,,,71.71,Significant,,,0.1273,249.2,191.3,4.9,6.984,0.127,0,,1,,0.0,
SOAD16126,Lyndrassia,No,Recreation,Earth,6.16,,0.0,1990.0,,0.00788,727.07817,Uncontrolled,,0.0,1.66,High,Not Rated,,0.0874,17.0,667.1,7.3,6.16,,1,,1,,0.0,
SOAD01088,Lyndrassia,No,Unknow,Earth,7.251,,0.0,,,0.00788,266.329,,,0.0,8.14,High,Not Rated,,0.107,30.9,199.1,,7.251,,1,,1,,0.0,
SOAD02260,Navaldia,Yes,Other,Earth,3.844,0.053,,1980.0,,0.06107,7.98987,Uncontrolled,11/08/2022,5.0,,Significant,Fair,16/02/2023,0.1067,26.3,473.8,,3.844,0.053,0,,1,,0.0,
SOAD03198,Navaldia,Yes,Recreation,Earth,7.737,0.087,,1886.0,,0.01379,2.66329,,05/12/2019,1.0,,High,Fair,,0.0935,16.7,579.3,6.7,7.737,0.087,0,,1,,0.0,
SOAD03788,Flumevale,Yes,Recreation,Earth,2.778,0.1,698.0,1933.0,,0.01773,7.98987,Uncontrolled,24/08/2022,2.0,0.0,Significant,Satisfactory,24/08/2022,0.1303,43.8,343.5,5.8,2.778,0.1,0,698.0,0,6.54965074223381,0.0,
SOAD08315,Navaldia,Yes,Flood Risk Reduction,Earth,5.768,0.033,,2001.0,,0.00394,2.66329,Uncontrolled,24/05/2019,2.0,,Significant,Not Rated,,0.1646,15.1,465.8,,5.768,0.033,0,,1,,0.0,
SOAD14643,Navaldia,Yes,Unknow,Earth,2.899,0.0,,,,0.0,0.0,Uncontrolled,30/01/2018,5.0,2.96,High,Not Rated,30/01/2023,0.0697,11.0,943.9,,2.899,,1,,1,,0.0,
SOAD15493,Navaldia,Yes,Recreation,Earth,7.259,0.05,,,,0.00788,2.66329,,17/11/2017,2.0,,Significant,Fair,,0.1287,25.8,384.0,8.9,7.259,0.05,0,,1,,0.0,
SOAD15721,Navaldia,Yes,Recreation,Earth,3.34,0.092,,,,0.02167,2.66329,,,2.0,,Significant,Unsatisfactory,,0.166,47.1,308.9,7.5,3.34,0.092,0,,1,,0.0,
SOAD16484,Navaldia,Yes,Flood Risk Reduction,Earth,1.775,0.25,,1990.0,,0.00788,0.0,,26/03/2019,2.0,,Significant,Fair,,0.1485,15.2,259.5,,1.775,0.25,0,,1,,0.0,
