ID,Region,Regulated.Dam,Primary.Purpose,Primary.Type,Height..m.,Length..km.,Volume..m3.,Year.Completed,Years.Modified,Surface..km2.,Drainage..km2.,Spillway,Last.Inspection.Date,Inspection.Frequency,Distance.to.Nearest.City..km.,Hazard,Assessment,Assessment.Date,Probability.of.Failure,Loss.given.failure...prop..Qm.,Loss.given.failure...liab..Qm.,Loss.given.failure...BI..Qm.,Height_clean,Length_clean,Length_missing,Volume_clean,Volume_missing,Volume_log,n_modifications,last_modification_year,Height..m._missing,Length..km._missing,Volume..m3._missing,Drainage..km2._missing,Surface..km2._missing,Distance.to.Nearest.City..km._missing
SOAD01247,Flumevale,No,Water Supply,Earth,7.299,0.253,24960.625378100114,Unknow,,0.6886129170607689,318.94428966604903,,,Unknow,1.67,Significant,Not Available,,0.1451,312.7,887.2,47.5,7.299,0.253,0,,1,,0,Unknow,0,0,1,1,1,0
SOAD11867,Flumevale,Yes,Water Supply,Earth,4.43,0.083,10010.690517769921,1999,2000,0.00788,41.35951863597684,Uncontrolled,24/05/2013,2,11.38,Significant,Fair,2013-05-24,0.1314,18.3,151.7,15.0,4.43,0.083,0,,1,,1,2000,0,0,1,1,0,0
SOAD15152,Flumevale,Yes,Flood Risk Reduction,Earth,11.071,0.095,21140.0,2005,,0.00788,649.6398187717358,Uncontrolled,17/09/2020,1,1.0336290781047437,High,Fair,2020-09-17,0.1114,43.7,816.2,20.545031404647652,11.071,0.095,0,21140.0,0,9.95896956199513,0,Unknow,0,0,0,1,0,1
SOAD02714,Flumevale,No,Water Supply,Earth,13.753,0.033,28490.182705934203,Unknow,,1.1670906992750096,133.48959376247356,,,Unknow,7.67,High,Not Available,,0.1083,672.7,452.4,51.7,13.753,0.033,0,,1,,0,Unknow,0,0,1,1,1,0
SOAD05372,Flumevale,Yes,Irrigation,Earth,5.634,0.08,3550.0,1960,,0.00788,7.98987,Uncontrolled,21/06/2021,2,16.56,Significant,Fair,2021-06-21,0.1503,8.1,260.9,24.6,5.634,0.08,0,3550.0,0,8.17498453294309,0,Unknow,0,0,0,0,0,0
SOAD11286,Flumevale,Yes,Recreation,Earth,3.498,0.133,10741.147649816528,1966,,0.00788,7.98987,Uncontrolled,29/08/2022,2,1.59,Significant,Fair,2022-08-29,0.1333,11.7,704.8,4.9,3.498,0.133,0,,1,,0,Unknow,0,0,1,0,0,0
SOAD03788,Flumevale,Yes,Recreation,Earth,2.778,0.1,698.0,1933,,0.01773,7.98987,Uncontrolled,24/08/2022,2,0.0,Significant,Satisfactory,2022-08-24,0.1303,43.8,343.5,5.8,2.778,0.1,0,698.0,0,6.54965074223381,0,Unknow,0,0,0,0,0,0
SOAD08746,Flumevale,Yes,Flood Risk Reduction,Earth,13.48,0.12,8900.0,2005,,0.00788,39.13607631391382,Uncontrolled,17/09/2020,1,0.0,High,Fair,2020-09-17,0.0965,8.6,531.1,17.721505502737937,13.48,0.12,0,8900.0,0,9.09391890895893,0,Unknow,0,0,0,1,0,0
SOAD10234,Flumevale,Yes,Water Supply,Earth,7.349,0.06,90922.90516377908,2007,2016,0.00788,5340.166634669629,Uncontrolled,28/09/2021,2,3.35,Significant,Satisfactory,2021-09-28,0.1222,33.1,879.3,54.1,7.349,0.06,0,,1,,1,2016,0,0,1,1,0,0
SOAD12835,Flumevale,Yes,Water Supply,Earth,7.45,0.093,7400.0,1964,2011H,0.00788,1474.1245700307845,Uncontrolled,05/05/2021,2,4.63,Significant,Satisfactory,2021-05-05,0.1031,39.9,162.8,46.6,7.45,0.093,0,7400.0,0,8.90937040519747,1,2011,0,0,0,1,0,0
SOAD01805,Flumevale,No,Debris Control,Earth,24.241,0.167,107411.38389708323,1938,,0.00788,13.31645,Uncontrolled,18/05/2022,5,1.1243059949663932,High,Not Available,,0.078,32.3,681.5,18.365484123738906,24.241,0.167,0,,1,,0,Unknow,0,0,1,0,0,1
SOAD13805,Flumevale,No,Fish and Wildlife Pond,Earth,4.377,0.058,2461.0,1934,,0.09873318821431552,34.877697670701,Uncontrolled,18/08/2010,Unknow,25.04,Significant,Not Rated,,0.1194,5.0,123.9,22.77155381491422,4.377,0.058,0,2461.0,0,7.8087293067444,0,Unknow,0,0,0,1,1,0
SOAD03137,Flumevale,Yes,Hydroelectric,Earth,9.44,0.136,14880.607592397238,1983,,0.0197,32.261701905568735,,11/09/2019,2,60.284389877028495,Low,Satisfactory,2023-04-11,0.0644,15.0,8.5,63.99972301587311,9.44,0.136,0,,1,,0,Unknow,0,0,1,1,0,1
SOAD18509,Flumevale,Yes,Recreation,Earth,5.384,0.193,19562.92165581253,Unknow,,0.01576,48.540850052937806,,16/11/2021,2,6.48,Significant,Satisfactory,2021-11-16,0.1246,38.9,358.6,4.3,5.384,0.193,0,,1,,0,Unknow,0,0,1,1,0,0
SOAD10593,Flumevale,Yes,Unknow,Earth,8.948,0.16,16489.6095486508,1953,,0.03349,45.27593,Uncontrolled,13/07/2018,6,1.61,Low,Unsatisfactory,2011-05-18,0.0936,5.4,953.9,16.209447069718074,8.948,0.16,0,,1,,0,Unknow,0,0,1,0,0,0
SOAD12130,Flumevale,Yes,Irrigation,Earth,13.105,0.1,32083.80570152054,1990,,0.01576,39.87296486341631,,21/02/2023,1,29.592767969230373,Significant,Fair,2017-09-01,0.1522,46.3,199.0,9.4,13.105,0.1,0,,1,,0,Unknow,0,0,1,1,0,1
SOAD20636,Flumevale,Yes,Water Supply,Earth,9.271,0.167,600.0,1982,,0.01773,43.31511888489559,,23/10/2018,6,1.61,Low,Satisfactory,2016-07-22,0.0438,8.9,821.9,13.7,9.271,0.167,0,600.0,0,6.39859493453521,0,Unknow,0,0,0,1,0,0
SOAD00507,Flumevale,Yes,Water Supply,Earth,16.582,0.087,16850.0,1989,,0.00788,29.35103370321573,Uncontrolled,25/03/2019,6,9.41,Low,Not Rated,,0.0624,31.2,217.4,11.0,16.582,0.087,0,16850.0,0,9.73216528120054,0,Unknow,0,0,0,1,0,0
SOAD14947,Flumevale,Yes,Irrigation,Earth,11.707,0.037,24687.789594381324,1973,,0.00788,30.559341239256877,Uncontrolled,21/04/2004,0,13.27,Low,Not Rated,,0.0843,26.7,123.1,23.4,11.707,0.037,0,,1,,0,Unknow,0,0,1,1,0,0
SOAD18593,Flumevale,Yes,Water Supply,Earth,14.382,0.209,42500.0,1922,,0.00788,5518.546525871355,,16/03/2022,1,66.00587993598265,Low,Satisfactory,2017-09-01,0.0786,34.9,17.3,67.0,14.382,0.209,0,42500.0,0,10.6572828840475,0,Unknow,0,0,0,1,0,1
SOAD20352,Flumevale,Yes,Flood Risk Reduction,Earth,13.481,0.05,145.0,1974,1977,0.00788,82.31701286542999,,02/12/2016,3,1.69,Low,Not Rated,,0.1019,8.8,357.6,18.709109158831197,13.481,0.05,0,145.0,0,4.98360662170834,1,1977,0,0,0,1,0,0
SOAD02117,Flumevale,Yes,Recreation,Earth,11.511,0.14,34155.81292495167,Unknow,,0.01576,48.14959707908906,Uncontrolled,24/06/2021,6,56.74329376062056,Low,Fair,2018-09-25,0.0524,28.1,23.7,3.9,11.511,0.14,0,,1,,0,Unknow,0,0,1,1,0,1
SOAD06483,Flumevale,No,Unknow,Earth,8.502,1.0068257679709793,470080.3903486368,1944,,0.0197,1078.63245,,07/12/2022,Unknow,20.53937902110291,Significant,Not Available,,0.1584,30.1,235.0,16.829619947143257,8.502,,1,,1,,0,Unknow,0,1,1,0,0,1
SOAD09248,Flumevale,Yes,Other,Earth,15.568,0.133,42562.0,1979,,0.00788,37.450514559821585,,01/01/1991,6,24.89,Low,Not Rated,,0.0225,20.2,171.7,18.947286780780917,15.568,0.133,0,42562.0,0,10.6587406102531,0,Unknow,0,0,0,1,0,0
SOAD12911,Flumevale,Yes,Water Supply,Earth,31.238,0.1,57000.0,1940,,0.00788,48.899195158920996,,24/08/2022,1,0.16,High,Satisfactory,2017-09-01,0.069,31.5,144.8,32.6,31.238,0.1,0,57000.0,0,10.9508240905224,0,Unknow,0,0,0,1,0,0
SOAD20752,Flumevale,Yes,Water Supply,Earth,12.74,0.111,17065.0,1962,,0.01773,31.7947833137811,,11/08/2022,1,0.47,High,Satisfactory,2017-09-01,0.0782,18.6,665.2,62.6,12.74,0.111,0,17065.0,0,9.74484345909653,0,Unknow,0,0,0,1,0,0
SOAD02445,Flumevale,Yes,Irrigation,Earth,9.043,0.243,8100.0,2006,,0.02364,34.11013338228045,Uncontrolled,01/10/2018,6,61.525744520664546,Low,Satisfactory,2015-10-23,0.0523,38.9,14.7,36.4,9.043,0.243,0,8100.0,0,8.99974278983049,0,Unknow,0,0,0,1,0,1
SOAD02894,Flumevale,Yes,Debris Control,Earth,13.579,0.088,28000.0,1962,,0.00788,2.66329,,20/10/2021,1,0.0,High,Satisfactory,2017-09-01,0.0753,16.4,234.3,17.359418911568365,13.579,0.088,0,28000.0,0,10.2399955028053,0,Unknow,0,0,0,0,0,0
SOAD19913,Flumevale,No,Other,Earth,5.106,0.033,77321.35685182389,Unknow,,24.62018508538577,1050.9269737271832,,,Unknow,1.01,High,Not Available,,0.1051,885.0,246.6,16.619646823399737,5.106,0.033,0,,1,,0,Unknow,0,0,1,1,1,0
SOAD00632,Flumevale,Yes,Irrigation,Earth,8.833,0.067,12029.987049543752,1946,,0.01576,34.160615375421756,Uncontrolled,06/06/2014,6,6.58,Low,Not Rated,,0.0804,25.1,330.2,20.9,8.833,0.067,0,,1,,0,Unknow,0,0,1,1,0,0
SOAD01721,Flumevale,Yes,Water Supply,Earth,10.502,0.347,11400.0,1954,,0.01576,537.4118773650312,,17/03/2022,1,2.235138958539945,High,Satisfactory,2017-09-01,0.0723,25.1,850.6,13.4,10.502,0.347,0,11400.0,0,9.34145634983372,0,Unknow,0,0,0,1,0,1
SOAD08116,Flumevale,Yes,Hydroelectric,Earth,14.519,0.15,39375.43990526833,1906,,0.02364,32.8200917276607,Uncontrolled,08/09/2022,3,3.27,Low,Fair,2023-09-29,0.081,26.4,328.2,79.0,14.519,0.15,0,,1,,0,Unknow,0,0,1,1,0,0
SOAD08173,Flumevale,Yes,Debris Control,Earth,23.083,0.082,62000.0,1957,,0.01773,31.846454421110643,,17/02/2022,1,0.16,High,Satisfactory,2017-09-01,0.0867,41.5,699.0,20.74867436546289,23.083,0.082,0,62000.0,0,11.0349057929294,0,Unknow,0,0,0,1,0,0
SOAD11011,Flumevale,Yes,Recreation,Earth,7.912,0.07,3641.0,1955,,0.08738945695686545,15.97974,Uncontrolled,14/09/2010,Unknow,0.0,Significant,Not Rated,,0.1786,5.9,554.8,4.3,7.912,0.07,0,3641.0,0,8.20028826028755,0,Unknow,0,0,0,0,1,0
SOAD19635,Flumevale,Yes,Flood Risk Reduction,Earth,13.349,0.07,10875.0,1959,,0.01576,34.2640707753544,Uncontrolled,05/11/2013,3,12.74,Low,Satisfactory,2019-04-15,0.0613,7.7,425.9,22.028644880828445,13.349,0.07,0,10875.0,0,9.29431380575236,0,Unknow,0,0,0,1,0,0
SOAD06018,Flumevale,Yes,Recreation,Earth,6.087,0.083,10078.00176367975,Unknow,2016,0.01773,7.98987,,31/10/2019,2,27.72,Significant,Satisfactory,2019-10-31,0.1228,18.5,472.8,3.1,6.087,0.083,0,,1,,1,2016,0,0,1,0,0,0
SOAD06333,Flumevale,Yes,Irrigation,Earth,14.307,0.07,25838.067797182055,1973,,0.00788,538.7800134605739,Uncontrolled,21/04/2004,0,12.97,Low,Fair,2019-10-08,0.0768,41.0,372.3,42.0,14.307,0.07,0,,1,,0,Unknow,0,0,1,1,0,0
SOAD07705,Flumevale,Yes,Unknow,Earth,11.951,0.077,26238.19275106629,1950,,0.01379,31.922454786482593,,10/08/2022,1,2.3,High,Fair,2017-09-01,0.1022,16.9,449.3,20.928636499924625,11.951,0.077,0,,1,,0,Unknow,0,0,1,1,0,0
SOAD12420,Flumevale,Yes,Water Supply,Earth,14.684,0.097,19400.0,1969,,0.01576,34.50085781815035,,06/04/2022,0.5,60.900292817922804,Low,Satisfactory,2017-09-01,0.0489,47.3,22.6,12.9,14.684,0.097,0,19400.0,0,9.8730798901147,0,Unknow,0,0,0,1,0,1
SOAD02075,Flumevale,No,Other,Earth,26.928,0.133,90920.42962180522,Unknow,,2.671084991919631,247.52323293149195,,,Unknow,6.39,High,Not Available,,0.0841,520.5,161.2,20.241401339192876,26.928,0.133,0,,1,,0,Unknow,0,0,1,1,1,0
SOAD03528,Flumevale,Yes,Water Supply,Earth,14.85,0.117,9600.0,1962,,0.00788,644.0722920205448,,27/05/2022,1,0.0,High,Satisfactory,2017-09-01,0.1102,45.6,595.7,5.3,14.85,0.117,0,9600.0,0,9.16962253869762,0,Unknow,0,0,0,1,0,0
SOAD04421,Flumevale,Yes,Recreation,Earth,8.878,0.043,5108.0,1935,1975S;1984S;1995,0.01576,55.018258210797235,Uncontrolled,14/05/2020,6,8.11,Low,Satisfactory,2009-03-20,0.0345,29.4,364.8,5.4,8.878,0.043,0,5108.0,0,8.5387589693308,3,1995,0,0,0,1,0,0
SOAD09829,Flumevale,No,Recreation,Earth,9.463,0.07,12982.545841752113,1955,,0.0794269444004064,53.9722879498636,Uncontrolled,09/06/2014,10,28.59,Low,Not Rated,,0.057,19.8,210.7,2.9,9.463,0.07,0,,1,,0,Unknow,0,0,1,1,1,0
SOAD14395,Flumevale,Yes,Water Supply,Earth,24.015,0.08,75722.0,1980,,0.00788,42.61264,Uncontrolled,21/10/2003,0,3.2,Low,Not Rated,,0.1188,23.7,914.3,20.7,24.015,0.08,0,75722.0,0,11.2348372241898,0,Unknow,0,0,0,0,0,0
SOAD01676,Flumevale,Yes,Unknow,Earth,9.449,0.08,13021.773621913893,1982,,0.00788,42.54556198806959,Uncontrolled,20/03/2019,6,0.0,Low,Satisfactory,2020-07-28,0.0327,20.7,105.1,18.969080283905466,9.449,0.08,0,,1,,0,Unknow,0,0,1,1,0,0
SOAD03436,Flumevale,Yes,Other,Earth,10.554,0.063,20244.571621461644,1974,,0.01576,28.022874695523903,Uncontrolled,30/04/1992,0,0.0,Low,Not Rated,,0.0814,47.1,910.2,19.964424893392817,10.554,0.063,0,,1,,0,Unknow,0,0,1,1,0,0
SOAD05014,Flumevale,Yes,Debris Control,Earth,13.242,0.127,31365.339716256498,1962,,0.01773,5.32658,,04/11/2021,1,0.0,High,Satisfactory,2017-09-01,0.0812,28.7,772.7,17.159521341099982,13.242,0.127,0,,1,,0,Unknow,0,0,1,0,0,0
SOAD11258,Flumevale,Yes,Other,Earth,13.153,0.117,22260.0,1950,,0.0197,4446.960020504053,,10/08/2022,1,2.35,High,Fair,2017-09-01,0.1139,46.1,848.3,18.102923953705474,13.153,0.117,0,22260.0,0,10.0105915474503,0,Unknow,0,0,0,1,0,0
SOAD14220,Flumevale,Yes,Water Supply,Earth,10.841,0.094,26000.0,2006,,0.01576,29.748662897398543,Uncontrolled,15/02/2019,6,1.63,Low,Not Rated,,0.0568,46.1,930.7,15.7,10.841,0.094,0,26000.0,0,10.1658902778025,0,Unknow,0,0,0,1,0,0
SOAD18608,Flumevale,Yes,Water Supply,Earth,52.641,0.339,1025494.7944171375,1958,,0.01773,403.0330716302249,,26/10/2021,1,0.14,High,Satisfactory,2017-09-01,0.0899,27.4,602.3,12.9,52.641,0.339,0,,1,,0,Unknow,0,0,1,1,0,0
SOAD06890,Flumevale,Yes,Irrigation,Earth,10.521,0.108,25666.974679479088,1960,,0.01773,32.2632865200167,Uncontrolled,24/09/2009,6,31.99,Low,Not Rated,,0.0862,31.4,230.2,16.8,10.521,0.108,0,,1,,0,Unknow,0,0,1,1,0,0
SOAD07167,Flumevale,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,10.485,0.073,6700.0,1992,,0.00788,35.98627424085332,Uncontrolled,09/08/2017,6,17.91,Low,Not Rated,,0.0478,16.7,213.8,18.926443512931325,10.485,0.073,0,6700.0,0,8.81001204797317,0,Unknow,0,0,0,1,0,0
SOAD11290,Flumevale,Yes,Irrigation,Earth,10.449,0.055,13605.0,1953,,0.00788,7.98987,,19/07/2007,6,9.78,Low,Not Rated,,0.0363,46.6,253.5,21.2,10.449,0.055,0,13605.0,0,9.51826615090501,0,Unknow,0,0,0,0,0,0
SOAD12393,Flumevale,Yes,Irrigation,Earth,11.377,0.091,24415.852065295254,1965,1973;1993,0.01773,47.01754005996567,Uncontrolled,14/05/2019,6,3.22,Low,Satisfactory,2020-05-20,0.0319,34.2,780.8,44.8,11.377,0.091,0,,1,,2,1993,0,0,1,1,0,0
SOAD20735,Flumevale,Yes,Recreation,Earth,4.735,0.073,9866.383343046831,1967,2016,0.01773,13.31645,Uncontrolled,12/08/2022,2,1.54,Significant,Satisfactory,2022-08-12,0.1176,22.7,569.7,6.0,4.735,0.073,0,,1,,1,2016,0,0,1,0,0,0
SOAD01605,Flumevale,Yes,Water Supply,Earth,15.335,0.147,27333.0,1948,,0.01576,31.98518008530342,,11/07/2023,0.5,68.45262329700516,Low,Poor,2018-07-20,0.1049,6.7,16.4,41.3,15.335,0.147,0,27333.0,0,10.2158866275247,0,Unknow,0,0,0,1,0,1
SOAD01826,Flumevale,Yes,Water Supply,Earth,11.195,0.072,22022.373100041255,1969,,0.00788,7.98987,Uncontrolled,27/09/2013,6,3.07,Low,Fair,2019-08-22,0.0568,5.9,621.6,32.0,11.195,0.072,0,,1,,0,Unknow,0,0,1,0,0,0
SOAD02825,Flumevale,Yes,Flood Risk Reduction,Earth,9.257,0.149,14850.00531322447,1957,,0.01576,32.37713717301741,Uncontrolled,05/10/2020,6,13.92,Low,Satisfactory,2013-11-05,0.0506,20.9,383.3,20.61007365545892,9.257,0.149,0,,1,,0,Unknow,0,0,1,1,0,0
SOAD03914,Flumevale,Yes,Recreation,Earth,8.851,0.134,8000.0,1984,,0.00788,7.98987,Uncontrolled,11/12/2018,6,3.3,Low,Not Rated,,0.058,30.3,391.5,9.1,8.851,0.134,0,8000.0,0,8.98732181285012,0,Unknow,0,0,0,0,0,0
SOAD18320,Flumevale,Yes,Water Supply,Earth,15.01,0.067,11000.0,1890,,0.01576,2.66329,,23/06/2022,1,0.79,High,Satisfactory,2017-09-01,0.0941,33.6,569.5,15.0,15.01,0.067,0,11000.0,0,9.30574145673943,0,Unknow,0,0,0,0,0,0
SOAD02366,Flumevale,Yes,Debris Control,Earth,26.889,0.619,379000.0,1980,,0.02364,26.6329,,27/01/2022,1,0.0,High,Satisfactory,2017-09-01,0.1031,27.1,952.3,19.345173396929304,26.889,0.619,0,379000.0,0,12.8452941225835,0,Unknow,0,0,0,0,0,0
SOAD04740,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.287,0.8407693251996705,812520.1376102435,1954,,10.508920329503548,4337.141624939079,,06/12/2022,Unknow,12.659356440027016,Significant,Not Available,,0.1843,28.9,448.7,19.085950244712564,8.287,,1,,1,,0,Unknow,0,1,1,1,1,1
SOAD05331,Flumevale,Yes,Water Supply,Earth,7.127,0.56,11822.0,1996,,0.01576,35.61872720161235,,18/06/2020,2,11.47,Significant,Fair,2020-06-18,0.142,42.4,176.2,22.3,7.127,0.56,0,11822.0,0,9.37780206586311,0,Unknow,0,0,0,1,0,0
SOAD08968,Flumevale,Yes,Irrigation,Earth,18.088,0.117,32000.0,Unknow,,0.01576,32.083711514895896,,09/03/2023,1,11.309804312564166,Significant,Fair,2017-09-01,0.1225,5.4,179.7,30.2,18.088,0.117,0,32000.0,0,10.3735224312936,0,Unknow,0,0,0,1,0,1
SOAD09486,Flumevale,Yes,Water Supply,Earth,12.535,0.067,23542.70184717317,Unknow,,0.01576,32.8094462170383,,14/03/2018,1,28.866609857088672,Significant,Not Rated,2022-02-15,0.1499,19.8,155.4,62.8,12.535,0.067,0,,1,,0,Unknow,0,0,1,1,0,1
SOAD10560,Flumevale,Yes,Other,Earth,17.26,0.09,18300.0,1962,,0.01773,32.069546638228786,,03/05/2022,0.5,69.42146201513889,Low,Satisfactory,2017-09-01,0.0746,43.6,19.5,22.4378960552829,17.26,0.09,0,18300.0,0,9.81471098214528,0,Unknow,0,0,0,1,0,1
SOAD10701,Flumevale,Yes,Recreation,Earth,9.345,0.09,13408.890404651413,1955,,0.01773,47.93922,,18/11/1992,0,144.73,Low,Fair,2014-09-25,0.0886,19.7,176.4,2.9,9.345,0.09,0,,1,,0,Unknow,0,0,1,0,0,0
SOAD14640,Flumevale,Yes,Irrigation,Earth,12.453,0.077,23899.77538921218,1958,,0.01576,13.31645,,02/11/1988,0,22.22,Low,Satisfactory,2016-09-19,0.0694,45.5,307.6,5.5,12.453,0.077,0,,1,,0,Unknow,0,0,1,0,0,0
SOAD00298,Flumevale,Yes,Hydroelectric,Earth,11.238,0.073,22214.0090627387,1904,,0.01576,74.57212,,13/09/2012,6,23.39,Low,Satisfactory,2015-10-05,0.0429,18.9,127.3,74.5,11.238,0.073,0,,1,,0,Unknow,0,0,1,0,0,0
SOAD04543,Flumevale,Yes,Flood Risk Reduction,Earth,7.983,0.082,11167.481044899185,1958,,0.01773,33.66378605052852,Uncontrolled,01/11/2021,3,0.0,Significant,Satisfactory,2021-11-01,0.1271,19.6,809.3,19.89786937150751,7.983,0.082,0,,1,,0,Unknow,0,0,1,1,0,0
SOAD11269,Flumevale,Yes,Debris Control,Earth,15.13,0.088,33000.0,1986,,0.01773,5.32658,,09/08/2022,1,4.99,Significant,Satisfactory,2017-09-01,0.0987,12.4,722.7,17.950867175970984,15.13,0.088,0,33000.0,0,10.4042931430198,0,Unknow,0,0,0,0,0,0
SOAD20505,Flumevale,Yes,Recreation,Earth,9.89,0.071,15448.062970445953,1954,,0.01576,13.31645,Uncontrolled,06/10/2022,6,8.37,Low,Fair,2022-09-27,0.0356,7.4,233.2,8.4,9.89,0.071,0,,1,,0,Unknow,0,0,1,0,0,0
SOAD03390,Flumevale,No,Recreation,Earth,8.866,0.072,2891.0,1938,,0.08721397644951279,26.6329,Controlled,07/08/2013,10,19.44,Low,Not Rated,,0.0195,8.3,302.5,6.2,8.866,0.072,0,2891.0,0,7.96970358327866,0,Unknow,0,0,0,0,1,0
SOAD04757,Flumevale,Yes,Irrigation,Earth,9.706,0.07,13582.938423781126,1953,,0.01773,33.04784560431454,Uncontrolled,29/09/2022,6,23.17,Low,Not Rated,,0.0821,25.6,280.5,11.7,9.706,0.07,0,,1,,0,Unknow,0,0,1,1,0,0
SOAD01286,Flumevale,Yes,Water Supply,Earth,10.164,0.344,2500.0,1964,,0.01773,35.28991470819233,,16/03/2022,1,1.1746307411544732,High,Satisfactory,2017-09-01,0.0855,11.3,601.4,68.7,10.164,0.344,0,2500.0,0,7.82444593087762,0,Unknow,0,0,0,1,0,1
SOAD06818,Flumevale,Yes,Irrigation,Earth,12.671,0.133,2015.0,1936,2004H;2004S,0.01773,21.30632,Uncontrolled,23/06/2022,2,3.31,Significant,Fair,2022-06-23,0.1386,41.9,113.4,12.7,12.671,0.133,0,2015.0,0,7.60887062919126,2,2004,0,0,0,0,0,0
SOAD09813,Flumevale,Yes,Flood Risk Reduction,Earth,12.88,0.179,17400.0,1959,,0.02561,31.7947833137811,Uncontrolled,15/04/2014,3,8.19,Low,Satisfactory,2020-06-05,0.0821,28.7,436.8,22.106412118321227,12.88,0.179,0,17400.0,0,9.76428295481558,0,Unknow,0,0,0,1,0,0
SOAD12655,Flumevale,Yes,Debris Control,Earth,18.056,0.308,83000.0,1966,,0.00788,2.66329,,01/12/2021,1,0.16,High,Satisfactory,2017-09-01,0.0912,26.6,764.5,17.226356852281675,18.056,0.308,0,83000.0,0,11.3266079348989,0,Unknow,0,0,0,0,0,0
SOAD16968,Flumevale,Yes,Irrigation,Earth,12.899,0.088,12587.0,1955,,0.01576,33.24793834765479,,30/08/2017,6,10.88,Low,Not Rated,,0.0835,39.5,433.0,40.3,12.899,0.088,0,12587.0,0,9.4404992581843,0,Unknow,0,0,0,1,0,0
SOAD05259,Flumevale,Yes,Fish and Wildlife Pond,Earth,9.762,0.227,26960.86893409427,1970,,0.03349,31.81064829033899,,20/09/2001,0,16.59,Low,Fair,2018-12-11,0.097,39.7,245.9,21.424691044497475,9.762,0.227,0,,1,,0,Unknow,0,0,1,1,0,0
