"ID","Region","Regulated.Dam","Primary.Purpose","Primary.Type","Height..m.","Length..km.","Volume..m3.","Year.Completed","Years.Modified","Surface..km2.","Drainage..km2.","Spillway","Last.Inspection.Date","Inspection.Frequency","Distance.to.Nearest.City..km.","Hazard","Assessment","Assessment.Date","Probability.of.Failure","Loss.given.failure...prop..Qm.","Loss.given.failure...liab..Qm.","Loss.given.failure...BI..Qm.","Height_clean","Length_clean","Length_missing","Volume_clean","Volume_missing","Volume_log","n_modifications","last_modification_year"
"SOAD14722","Navaldia","Yes","Flood Risk Reduction","Earth",3.556,0.053,NA,"1998","",NA,7.98987,"","29/12/2020","1",NA,"High","Satisfactory",NA,0.1039,625.3,716.1,NA,3.556,0.053,0,NA,1,NA,"0","Unknow"
"SOAD20423","Navaldia","Yes","Flood Risk Reduction","Earth",3.25,0.117,NA,"1994","",NA,2.66329,"","28/01/2021","1",NA,"High","Fair",NA,0.096,632.1,897.7,NA,3.25,0.117,0,NA,1,NA,"0","Unknow"
"SOAD00063","Navaldia","No","Recreation","Earth",3.509,0,NA,"1982","",0,0,"","28/07/2009","Unknow",NA,"Significant","Not Rated",2014-07-28,0.1722,36.1,42.1,5.5,3.509,NA,1,NA,1,NA,"0","Unknow"
"SOAD01247","Flumevale","No","Water Supply","Earth",7.299,0.253,NA,"Unknow","",NA,NA,"","","Unknow",1.67,"Significant","Not Available",NA,0.1451,312.7,887.2,47.5,7.299,0.253,0,NA,1,NA,"0","Unknow"
"SOAD04234","Navaldia","Yes","Flood Risk Reduction","Earth",4.295,0.1,NA,"1948","",0,0,"Uncontrolled","12/02/2020","5",0,"High","Fair",2021-03-31,0.0574,42.9,263.9,NA,4.295,0.1,0,NA,1,NA,"0","Unknow"
"SOAD05848","Navaldia","Yes","Recreation","Earth",4.178,0.067,NA,"1973","",0.00591,2.66329,"","17/11/2017","2",NA,"Significant","Poor",NA,0.1479,25,424.5,6.3,4.178,0.067,0,NA,1,NA,"0","Unknow"
"SOAD07932","Lyndrassia","Yes","Other","Earth",14.982,0.07,0,"1988","1988",0.00394,0,"Uncontrolled","04/04/2023","2",9.2,"High","Satisfactory",2008-09-04,0.1094,9.9,248.4,NA,14.982,0.07,0,NA,1,NA,"1","1988"
"SOAD12960","Navaldia","Yes","Water Supply","Earth",6.807,0.067,NA,"1915","",0.00788,10.65316,"","14/10/2020","1",NA,"High","Poor",NA,0.1269,35.4,874.2,17,6.807,0.067,0,NA,1,NA,"0","Unknow"
"SOAD20522","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth",15.395,0.073,0,"1989","",0.00197,0,"Uncontrolled","12/12/2021","5",9.51,"Significant","Not Rated",2007-12-19,0.1375,28.9,162.5,NA,15.395,0.073,0,NA,1,NA,"0","Unknow"
"SOAD05174","Navaldia","Yes","Flood Risk Reduction","Earth",8.942,0.09,NA,"Unknow","",0,0,"Uncontrolled","13/02/2020","5",0.16,"High","Fair",2021-04-01,0.0881,27.2,305,NA,8.942,0.09,0,NA,1,NA,"0","Unknow"
"SOAD06379","Navaldia","No","Unknow","Earth",7.121,0.024,NA,"Unknow","",0.00591,0,"Uncontrolled","18/08/2009","Unknow",NA,"Significant","Not Rated",2014-08-18,0.111,23.1,392.8,NA,7.121,0.024,0,NA,1,NA,"0","Unknow"
"SOAD09118","Navaldia","Yes","Recreation","Earth",7.888,0.1,NA,"Unknow","2002H",0.02955,23.96961,"Uncontrolled","27/08/2020","2",NA,"Significant","Satisfactory",NA,0.1212,5.9,71.8,8.3,7.888,0.1,0,NA,1,NA,"1","2002"
"SOAD10640","Navaldia","Yes","Flood Risk Reduction","Earth",3.884,0.058,4140,"2009","",0.00788,0,"Uncontrolled","08/12/2021","5",NA,"Significant","Fair",2022-07-27,0.1218,9.4,124.5,NA,3.884,0.058,0,4140,0,8.32869258354557,"0","Unknow"
"SOAD11247","Navaldia","Yes","Recreation","Earth",3.242,0.04,NA,"1936","",0.02167,2.66329,"","29/06/2017","2",NA,"Significant","Fair",NA,0.1364,6.1,252.1,6,3.242,0.04,0,NA,1,NA,"0","Unknow"
"SOAD11707","Navaldia","No","Unknow","Earth",5.459,0.039,NA,"Unknow","",0.00788,0,"Uncontrolled","18/08/2009","Unknow",NA,"Significant","Not Rated",2014-08-18,0.1546,32.1,400.2,NA,5.459,0.039,0,NA,1,NA,"0","Unknow"
"SOAD11867","Flumevale","Yes","Water Supply","Earth",4.43,0.083,NA,"1999","2000",0.00788,0,"Uncontrolled","24/05/2013","2",11.38,"Significant","Fair",2013-05-24,0.1314,18.3,151.7,15,4.43,0.083,0,NA,1,NA,"1","2000"
"SOAD15152","Flumevale","Yes","Flood Risk Reduction","Earth",11.071,0.095,21140,"2005","",0.00788,0,"Uncontrolled","17/09/2020","1",NA,"High","Fair",2020-09-17,0.1114,43.7,816.2,NA,11.071,0.095,0,21140,0,9.95896956199513,"0","Unknow"
"SOAD15867","Navaldia","Yes","Recreation","Earth",5.156,0.183,NA,"1982","2002S",0.03349,2.66329,"","19/01/2021","1",NA,"High","Fair",NA,0.1167,15.5,887.5,8.2,5.156,0.183,0,NA,1,NA,"1","2002"
"SOAD02714","Flumevale","No","Water Supply","Earth",13.753,0.033,NA,"Unknow","",NA,NA,"","","Unknow",7.67,"High","Not Available",NA,0.1083,672.7,452.4,51.7,13.753,0.033,0,NA,1,NA,"0","Unknow"
"SOAD03129","Lyndrassia","Yes","Unknow","Earth",16.055,0.053,NA,"1999","1999",0.00394,0,"","02/11/2021","Unknow",NA,"Significant","Satisfactory",2007-12-19,0.1143,37.2,379.4,NA,16.055,0.053,0,NA,1,NA,"1","1999"
"SOAD05372","Flumevale","Yes","Irrigation","Earth",5.634,0.08,3550,"1960","",0.00788,7.98987,"Uncontrolled","21/06/2021","2",16.56,"Significant","Fair",2021-06-21,0.1503,8.1,260.9,24.6,5.634,0.08,0,3550,0,8.17498453294309,"0","Unknow"
"SOAD05893","Navaldia","Yes","Other","Earth",7.354,0.048,NA,"Unknow","",0.00788,7.98987,"","29/03/2017","2",NA,"Significant","Not Rated",NA,0.167,17.2,74.7,NA,7.354,0.048,0,NA,1,NA,"0","Unknow"
"SOAD11286","Flumevale","Yes","Recreation","Earth",3.498,0.133,NA,"1966","",0.00788,7.98987,"Uncontrolled","29/08/2022","2",1.59,"Significant","Fair",2022-08-29,0.1333,11.7,704.8,4.9,3.498,0.133,0,NA,1,NA,"0","Unknow"
"SOAD12488","Navaldia","No","Other","Earth",4.199,0.043,NA,"Unknow","",0.00788,0,"Uncontrolled","24/08/2009","Unknow",NA,"Significant","Not Rated",2014-08-24,0.1619,44.7,473.7,NA,4.199,0.043,0,NA,1,NA,"0","Unknow"
"SOAD18907","Navaldia","Yes","Flood Risk Reduction","Earth",4.068,0.125,NA,"1986","",NA,2.66329,"","28/01/2021","1",NA,"High","Satisfactory",NA,0.085,862.4,828.4,NA,4.068,0.125,0,NA,1,NA,"0","Unknow"
"SOAD00892","Navaldia","Yes","Flood Risk Reduction","Earth",4.974,0.147,NA,"1993","",NA,2.66329,"","27/07/2018","2",NA,"Significant","Not Rated",NA,0.1355,310.9,31.4,NA,4.974,0.147,0,NA,1,NA,"0","Unknow"
"SOAD11305","Navaldia","Yes","Recreation","Earth",5.32,0.067,NA,"Unknow","",0.00591,7.98987,"","12/10/2020","1",NA,"High","Satisfactory",NA,0.0907,42.2,713.7,5.9,5.32,0.067,0,NA,1,NA,"0","Unknow"
"SOAD14530","Navaldia","Yes","Flood Risk Reduction","Earth",3.487,0.16,NA,"1979","",NA,2.66329,"","22/03/2019","2",NA,"Significant","Fair",NA,0.1276,388,302.4,NA,3.487,0.16,0,NA,1,NA,"0","Unknow"
"SOAD15004","Navaldia","Yes","Recreation","Earth",6.437,0.05,NA,"Unknow","",0.00985,2.66329,"","23/03/2021","1",NA,"High","Fair",NA,0.1056,12.8,805.9,7.1,6.437,0.05,0,NA,1,NA,"0","Unknow"
"SOAD15153","Navaldia","Yes","Recreation","Earth",6.847,0.067,NA,"Unknow","",0.01182,2.66329,"","15/11/2017","2",NA,"Significant","Satisfactory",NA,0.1042,43.1,350,8.7,6.847,0.067,0,NA,1,NA,"0","Unknow"
"SOAD15297","Navaldia","Yes","Recreation","Earth",3.795,0.037,NA,"Unknow","",0.01576,2.66329,"","04/12/2020","2",NA,"Significant","Fair",NA,0.1444,27.9,276.7,6.6,3.795,0.037,0,NA,1,NA,"0","Unknow"
"SOAD16517","Lyndrassia","No","Unknow","Earth",10.489,0.027,0,"Unknow","",0.00591,21.30632,"","","0",0,"Significant","Not Rated",NA,0.1392,39.4,287.2,NA,10.489,0.027,0,NA,1,NA,"0","Unknow"
"SOAD20131","Navaldia","Yes","Recreation","Earth",3.533,0.15,NA,"Unknow","1991S",0.01773,0,"Uncontrolled","14/09/2016","5",1.61,"High","Not Rated",2021-09-14,0.1054,43.2,904.3,4.7,3.533,0.15,0,NA,1,NA,"1","1991"
"SOAD00226","Navaldia","Yes","Flood Risk Reduction","Earth",8.065,0.083,NA,"1965","",0.00985,0,"","19/10/2018","2",NA,"Significant","Satisfactory",NA,0.122,18.4,339.5,NA,8.065,0.083,0,NA,1,NA,"0","Unknow"
"SOAD01190","Navaldia","Yes","Recreation","Earth",5.321,0.133,NA,"1968","1975S",0.00788,0,"Uncontrolled","26/03/2015","5",NA,"High","Not Rated",2020-03-26,0.1004,9.5,590,3.1,5.321,0.133,0,NA,1,NA,"1","1975"
"SOAD06606","Navaldia","Yes","Flood Risk Reduction","Earth",9.137,0.067,NA,"Unknow","",NA,2.66329,"","19/10/2018","2",NA,"Significant","Satisfactory",NA,0.1135,217.4,441.6,NA,9.137,0.067,0,NA,1,NA,"0","Unknow"
"SOAD10931","Navaldia","Yes","Water Supply","Earth",8.504,0.055,NA,"1915","",0.01773,10.65316,"","14/10/2020","1",NA,"High","Poor",NA,0.1244,41.7,670.2,16.5,8.504,0.055,0,NA,1,NA,"0","Unknow"
"SOAD11393","Navaldia","Yes","Flood Risk Reduction","Earth",6.931,0.09,NA,"1948","",0,0,"Uncontrolled","13/02/2020","5",0.16,"High","Fair",2021-04-01,0.0739,5.1,128.3,NA,6.931,0.09,0,NA,1,NA,"0","Unknow"
"SOAD16190","Lyndrassia","Yes","Unknow","Earth",19.243,0.053,NA,"1970","2011",0.00394,0,"Uncontrolled","24/06/2020","3",0.1,"High","Satisfactory",2012-08-27,0.0811,26.7,137,NA,19.243,0.053,0,NA,1,NA,"1","2011"
"SOAD19959","Navaldia","Yes","Recreation","Earth",5.04,0.083,NA,"Unknow","",NA,2.66329,"","21/09/2017","2",NA,"Significant","Fair",NA,0.1325,124.5,308.9,3.9,5.04,0.083,0,NA,1,NA,"0","Unknow"
"SOAD00463","Navaldia","Yes","Flood Risk Reduction","Earth",3.213,0.028,NA,"Unknow","",NA,2.66329,"","07/10/2016","2",NA,"Significant","Fair",NA,0.1296,78.2,288.6,NA,3.213,0.028,0,NA,1,NA,"0","Unknow"
"SOAD01374","Navaldia","Yes","Flood Risk Reduction","Earth",3.889,0.117,NA,"Unknow","2003H",NA,0,"Uncontrolled","25/10/2017","2",NA,"Significant","Fair",NA,0.1215,451.1,348.9,NA,3.889,0.117,0,NA,1,NA,"1","2003"
