ID,Region,Regulated Dam,Primary Purpose,Primary Type,Height (m),Length (km),Volume (m3),Year Completed,Years Modified,Surface (km2),Drainage (km2),Spillway,Last Inspection Date,Inspection Frequency,Distance to Nearest City (km),Hazard,Assessment,Assessment Date,Probability of Failure,Loss given failure - prop (Qm),Loss given failure - liab (Qm),Loss given failure - BI (Qm)
SOAD02312,Flumevale,No,Other,Earth,10.679,0.08,,,,,,,,,1.67,Significant,Not Available,,0.1661,306.3,365.5,
SOAD07202,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.746,0.11,,1990.0,1991S,0.00788,0.0,Uncontrolled,08/07/2009,5.0,,Significant,Not Rated,08/07/2014,0.0923,19.0,308.6,
SOAD10724,Navaldia,Yes,,,4.217,0.143,,2021.0,,0.00788,,Uncontrolled,21/04/2021,5.0,,Significant,Fair,23/08/2021,0.1184,7.5,369.0,
SOAD14722,Navaldia,Yes,Flood Risk Reduction,Earth,3.556,0.053,,1998.0,,,7.98987,,29/12/2020,1.0,,High,Satisfactory,,0.1039,625.3,716.1,
SOAD20423,Navaldia,Yes,Flood Risk Reduction,Earth,3.25,0.117,,1994.0,,,2.66329,,28/01/2021,1.0,,High,Fair,,0.096,632.1,897.7,
SOAD00063,Navaldia,No,Recreation,Earth,3.509,0.0,,1982.0,,0.0,0.0,,28/07/2009,,,Significant,Not Rated,28/07/2014,0.1722,36.1,42.1,5.5
SOAD01247,Flumevale,No,Water Supply,Earth,7.299,0.253,,,,,,,,,1.67,Significant,Not Available,,0.1451,312.7,887.2,47.5
SOAD04234,Navaldia,Yes,Flood Risk Reduction,Earth,4.295,0.1,,1948.0,,0.0,0.0,Uncontrolled,12/02/2020,5.0,0.0,High,Fair,31/03/2021,0.0574,42.9,263.9,
SOAD05848,Navaldia,Yes,Recreation,Earth,4.178,0.067,,1973.0,,0.00591,2.66329,,17/11/2017,2.0,,Significant,Poor,,0.1479,25.0,424.5,6.3
SOAD07932,Lyndrassia,Yes,Other,Earth,14.982,0.07,0.0,1988.0,1988,0.00394,0.0,Uncontrolled,04/04/2023,2.0,9.2,High,Satisfactory,04/09/2008,0.1094,9.9,248.4,
SOAD12960,Navaldia,Yes,Water Supply,Earth,6.807,0.067,,1915.0,,0.00788,10.65316,,14/10/2020,1.0,,High,Poor,,0.1269,35.4,874.2,17.0
SOAD13126,Navaldia,Yes,,,5.159,0.117,,,,0.01773,0.0,Uncontrolled,09/08/2021,5.0,,High,Fair,09/12/2021,0.0779,37.4,797.4,
SOAD20522,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,15.395,0.073,0.0,1989.0,,0.00197,0.0,Uncontrolled,12/12/2021,5.0,9.51,Significant,Not Rated,19/12/2007,0.1375,28.9,162.5,
SOAD20772,Navaldia,Yes,Flood Risk Reduction,,8.209,0.083,,1934.0,,0.0,0.0,Uncontrolled,12/02/2020,5.0,,High,Fair,28/08/2020,0.074,37.9,914.9,
SOAD01504,Navaldia,Yes,,,3.262,0.173,,,,0.01576,,Uncontrolled,05/12/2019,5.0,,High,Fair,01/07/2019,0.087,26.0,594.1,
SOAD05174,Navaldia,Yes,Flood Risk Reduction,Earth,8.942,0.09,,,,0.0,0.0,Uncontrolled,13/02/2020,5.0,0.16,High,Fair,01/04/2021,0.0881,27.2,305.0,
SOAD06379,Navaldia,No,,Earth,7.121,0.024,,,,0.00591,0.0,Uncontrolled,18/08/2009,,,Significant,Not Rated,18/08/2014,0.111,23.1,392.8,
SOAD09118,Navaldia,Yes,Recreation,Earth,7.888,0.1,,,2002H,0.02955,23.96961,Uncontrolled,27/08/2020,2.0,,Significant,Satisfactory,,0.1212,5.9,71.8,8.3
SOAD10640,Navaldia,Yes,Flood Risk Reduction,Earth,3.884,0.058,4140.0,2009.0,,0.00788,0.0,Uncontrolled,08/12/2021,5.0,,Significant,Fair,27/07/2022,0.1218,9.4,124.5,
SOAD11247,Navaldia,Yes,Recreation,Earth,3.242,0.04,,1936.0,,0.02167,2.66329,,29/06/2017,2.0,,Significant,Fair,,0.1364,6.1,252.1,6.0
SOAD11707,Navaldia,No,,Earth,5.459,0.039,,,,0.00788,0.0,Uncontrolled,18/08/2009,,,Significant,Not Rated,18/08/2014,0.1546,32.1,400.2,
SOAD11867,Flumevale,Yes,Water Supply,Earth,4.43,0.083,,1999.0,2000,0.00788,0.0,Uncontrolled,24/05/2013,2.0,11.38,Significant,Fair,24/05/2013,0.1314,18.3,151.7,15.0
SOAD11892,Flumevale,No,Water Supply,,5.94,0.032,,,,,,,,,1.63,High,Not Available,,0.0765,719.6,565.6,15.9
SOAD15152,Flumevale,Yes,Flood Risk Reduction,Earth,11.071,0.095,21140.0,2005.0,,0.00788,0.0,Uncontrolled,17/09/2020,1.0,,High,Fair,17/09/2020,0.1114,43.7,816.2,
SOAD15867,Navaldia,Yes,Recreation,Earth,5.156,0.183,,1982.0,2002S,0.03349,2.66329,,19/01/2021,1.0,,High,Fair,,0.1167,15.5,887.5,8.2
SOAD02714,Flumevale,No,Water Supply,Earth,13.753,0.033,,,,,,,,,7.67,High,Not Available,,0.1083,672.7,452.4,51.7
SOAD03129,Lyndrassia,Yes,,Earth,16.055,0.053,,1999.0,1999,0.00394,0.0,,02/11/2021,,,Significant,Satisfactory,19/12/2007,0.1143,37.2,379.4,
SOAD04965,Navaldia,No,,,4.496,0.07,,,,,,Uncontrolled,30/08/2022,,,Significant,Fair,10/04/2023,0.1312,127.5,319.7,
SOAD05372,Flumevale,Yes,Irrigation,Earth,5.634,0.08,3550.0,1960.0,,0.00788,7.98987,Uncontrolled,21/06/2021,2.0,16.56,Significant,Fair,21/06/2021,0.1503,8.1,260.9,24.6
SOAD05893,Navaldia,Yes,Other,Earth,7.354,0.048,,,,0.00788,7.98987,,29/03/2017,2.0,,Significant,Not Rated,,0.167,17.2,74.7,
SOAD11286,Flumevale,Yes,Recreation,Earth,3.498,0.133,,1966.0,,0.00788,7.98987,Uncontrolled,29/08/2022,2.0,1.59,Significant,Fair,29/08/2022,0.1333,11.7,704.8,4.9
SOAD12488,Navaldia,No,Other,Earth,4.199,0.043,,,,0.00788,0.0,Uncontrolled,24/08/2009,,,Significant,Not Rated,24/08/2014,0.1619,44.7,473.7,
SOAD18907,Navaldia,Yes,Flood Risk Reduction,Earth,4.068,0.125,,1986.0,,,2.66329,,28/01/2021,1.0,,High,Satisfactory,,0.085,862.4,828.4,
SOAD00892,Navaldia,Yes,Flood Risk Reduction,Earth,4.974,0.147,,1993.0,,,2.66329,,27/07/2018,2.0,,Significant,Not Rated,,0.1355,310.9,31.4,
SOAD11305,Navaldia,Yes,Recreation,Earth,5.32,0.067,,,,0.00591,7.98987,,12/10/2020,1.0,,High,Satisfactory,,0.0907,42.2,713.7,5.9
SOAD14530,Navaldia,Yes,Flood Risk Reduction,Earth,3.487,0.16,,1979.0,,,2.66329,,22/03/2019,2.0,,Significant,Fair,,0.1276,388.0,302.4,
SOAD15004,Navaldia,Yes,Recreation,Earth,6.437,0.05,,,,0.00985,2.66329,,23/03/2021,1.0,,High,Fair,,0.1056,12.8,805.9,7.1
SOAD15153,Navaldia,Yes,Recreation,Earth,6.847,0.067,,,,0.01182,2.66329,,15/11/2017,2.0,,Significant,Satisfactory,,0.1042,43.1,350.0,8.7
SOAD15297,Navaldia,Yes,Recreation,Earth,3.795,0.037,,,,0.01576,2.66329,,04/12/2020,2.0,,Significant,Fair,,0.1444,27.9,276.7,6.6
SOAD16517,Lyndrassia,No,,Earth,10.489,0.027,0.0,,,0.00591,21.30632,,,0.0,0.0,Significant,Not Rated,,0.1392,39.4,287.2,
SOAD20131,Navaldia,Yes,Recreation,Earth,3.533,0.15,,,1991S,0.01773,0.0,Uncontrolled,14/09/2016,5.0,1.61,High,Not Rated,14/09/2021,0.1054,43.2,904.3,4.7
SOAD00226,Navaldia,Yes,Flood Risk Reduction,Earth,8.065,0.083,,1965.0,,0.00985,0.0,,19/10/2018,2.0,,Significant,Satisfactory,,0.122,18.4,339.5,
SOAD01190,Navaldia,Yes,Recreation,Earth,5.321,0.133,,1968.0,1975S,0.00788,0.0,Uncontrolled,26/03/2015,5.0,,High,Not Rated,26/03/2020,0.1004,9.5,590.0,3.1
SOAD04969,Navaldia,Yes,,,3.854,0.073,,,,0.01773,,Uncontrolled,29/11/2022,2.0,,Significant,Unsatisfactory,10/04/2023,0.1767,14.6,169.9,
SOAD06606,Navaldia,Yes,Flood Risk Reduction,Earth,9.137,0.067,,,,,2.66329,,19/10/2018,2.0,,Significant,Satisfactory,,0.1135,217.4,441.6,
SOAD09548,Navaldia,Yes,,Concrete,4.184,0.03,,,,0.01773,2.66329,Uncontrolled,27/09/2021,5.0,,High,Satisfactory,17/03/2022,0.0648,39.9,900.3,
SOAD10931,Navaldia,Yes,Water Supply,Earth,8.504,0.055,,1915.0,,0.01773,10.65316,,14/10/2020,1.0,,High,Poor,,0.1244,41.7,670.2,16.5
SOAD11393,Navaldia,Yes,Flood Risk Reduction,Earth,6.931,0.09,,1948.0,,0.0,0.0,Uncontrolled,13/02/2020,5.0,0.16,High,Fair,01/04/2021,0.0739,5.1,128.3,
SOAD16190,Lyndrassia,Yes,,Earth,19.243,0.053,,1970.0,2011,0.00394,0.0,Uncontrolled,24/06/2020,3.0,0.1,High,Satisfactory,27/08/2012,0.0811,26.7,137.0,
SOAD16710,Navaldia,Yes,Recreation,Stone,8.023,0.05,,1886.0,,0.06501,47.93922,,05/01/2021,1.0,,High,Fair,,0.0816,22.7,612.4,7.2
SOAD19959,Navaldia,Yes,Recreation,Earth,5.04,0.083,,,,,2.66329,,21/09/2017,2.0,,Significant,Fair,,0.1325,124.5,308.9,3.9
SOAD00463,Navaldia,Yes,Flood Risk Reduction,Earth,3.213,0.028,,,,,2.66329,,07/10/2016,2.0,,Significant,Fair,,0.1296,78.2,288.6,
SOAD01251,Navaldia,Yes,Flood Risk Reduction,Concrete,5.496,0.167,,1995.0,,0.0,0.0,Uncontrolled,19/10/2018,,,Significant,Fair,03/09/2019,0.1507,19.3,311.1,
SOAD01374,Navaldia,Yes,Flood Risk Reduction,Earth,3.889,0.117,,,2003H,,0.0,Uncontrolled,25/10/2017,2.0,,Significant,Fair,,0.1215,451.1,348.9,
SOAD03552,Navaldia,Yes,Recreation,Earth,4.689,0.07,,1982.0,,0.01576,5.32658,,08/09/2017,2.0,,Significant,Poor,,0.137,18.6,32.5,6.1
SOAD05302,Navaldia,Yes,Recreation,Earth,6.739,0.073,,1986.0,,0.01773,0.0,Uncontrolled,19/10/2016,5.0,7.18,Significant,Not Rated,19/10/2021,0.1423,27.0,135.5,7.5
SOAD06430,Navaldia,Yes,Other,,6.183,,,,,,0.0,,08/08/2018,2.0,,Significant,Not Rated,,0.1592,342.4,186.7,
SOAD08078,Navaldia,Yes,Flood Risk Reduction,Earth,6.5,0.2,,,,,13.31645,,09/08/2018,2.0,,Significant,Not Rated,,0.1676,188.6,94.0,
SOAD08735,Lyndrassia,No,,Earth,17.885,0.14,,,,0.07486,868.23254,Uncontrolled,19/04/2021,1.0,,High,Poor,11/10/2019,0.1245,46.5,512.9,
SOAD08991,Navaldia,Yes,Flood Risk Reduction,Earth,4.186,0.133,,,,,2.66329,,26/03/2019,2.0,,Significant,Poor,,0.1478,460.0,314.3,
SOAD10981,Navaldia,Yes,,,5.126,0.092,,,,0.01182,0.0,Uncontrolled,09/08/2021,5.0,,High,Fair,09/12/2021,0.0956,15.6,865.9,
SOAD14049,Lyndrassia,Yes,Recreation,Earth,6.984,0.127,,1963.0,,,,,,,71.71,Significant,,,0.1273,249.2,191.3,4.9
SOAD14340,Navaldia,Yes,,,4.179,0.092,,,,0.01182,0.0,Uncontrolled,09/08/2021,5.0,,High,Fair,09/12/2021,0.1023,17.7,866.7,
SOAD16126,Lyndrassia,No,Recreation,Earth,6.16,,0.0,1990.0,,0.00788,727.07817,Uncontrolled,,0.0,1.66,High,Not Rated,,0.0874,17.0,667.1,7.3
SOAD18953,Navaldia,Yes,,,3.234,0.183,,,,0.02167,,Uncontrolled,03/10/2022,5.0,,High,Fair,16/02/2023,0.0887,6.4,827.7,
SOAD01088,Lyndrassia,No,,Earth,7.251,,0.0,,,0.00788,266.329,,,0.0,8.14,High,Not Rated,,0.107,30.9,199.1,
SOAD02260,Navaldia,Yes,Other,Earth,3.844,0.053,,1980.0,,0.06107,7.98987,Uncontrolled,11/08/2022,5.0,,Significant,Fair,16/02/2023,0.1067,26.3,473.8,
SOAD02426,Navaldia,Yes,,,5.107,0.06,,2003.0,,0.00788,0.0,Uncontrolled,02/06/2022,5.0,,Significant,Fair,12/04/2023,0.0978,7.0,106.8,
SOAD03198,Navaldia,Yes,Recreation,Earth,7.737,0.087,,1886.0,,0.01379,2.66329,,05/12/2019,1.0,,High,Fair,,0.0935,16.7,579.3,6.7
SOAD03788,Flumevale,Yes,Recreation,Earth,2.778,0.1,698.0,1933.0,,0.01773,7.98987,Uncontrolled,24/08/2022,2.0,0.0,Significant,Satisfactory,24/08/2022,0.1303,43.8,343.5,5.8
SOAD08315,Navaldia,Yes,Flood Risk Reduction,Earth,5.768,0.033,,2001.0,,0.00394,2.66329,Uncontrolled,24/05/2019,2.0,,Significant,Not Rated,,0.1646,15.1,465.8,
SOAD14643,Navaldia,Yes,,Earth,2.899,0.0,,,,0.0,0.0,Uncontrolled,30/01/2018,5.0,2.96,High,Not Rated,30/01/2023,0.0697,11.0,943.9,
